reading_order,batch,sample_id,swap_from,swap_to,clause_replaced_to,caption_distractor,q1_grammatical,q2_asserts_swap_to,q3_not_still_true,notes
132,2,sushi:pn_spike\06\0000002,positive-and-negative spike,noisy,"Furthermore, the signal is covered by a large amount of noise throughout.","Characterised by a sharp decline towards the end, the pathway exhibits a diminishing inverse exponential multiplier. Furthermore, the signal is covered by a large amount of noise throughout.",y,y,y,±spike→noisy: 'covered by... noise throughout' pins pervasiveness — false for sporadic spikes; kept y
133,2,sushi:pn_spike\06\0000002,positive-and-negative spike,negative spike,"Moreover, the signal is consistently pestered by high levels of negative spikes.","Characterised by a sharp decline towards the end, the pathway exhibits a diminishing inverse exponential multiplier. Moreover, the signal is consistently pestered by high levels of negative spikes.",y,y,n,±spike truth does contain high negative spikes ('consistently pestered' fits recurring spikes) — claim still true; 'pestered' odd word choice
134,2,sushi:pn_spike\08\0000001,positive-and-negative spike,positive spike,"Positive spikes of considerable size are frequently in the signal, in addition.","The trajectory is on its way to saturation due to the growth of inverse exponential decay. Positive spikes of considerable size are frequently in the signal, in addition.",y,y,n,±spike truth: considerable positive spikes frequently present — claim still true
135,2,sushi:n_spike\02\0000000,negative spike,smooth,"Generally, the signal is smooth with minor spikes.","The pattern is witnessing a linear and constant decline. Generally, the signal is smooth with minor spikes.",y,y,y,smooth with minor spikes' contradicts large-negative-spike truth on smoothness and magnitude — ok
136,2,sushi:pn_spike\10\0000008,positive-and-negative spike,step,"Equally important, the signal exhibits significant step changes at different intervals.","The path is always going down like an upside-down S-curve, and it's starting to slow down as it gets close to a certain point. Equally important, the signal exhibits significant step changes at different intervals.",y,y,y,
137,2,sushi:pn_spike\21\0000003,positive-and-negative spike,noisy,"A significant amount of noise is interspersed within the signal, in addition.","Mirroring a square wave, the signal shows a pattern that repeats regularly at regular intervals. A significant amount of noise is interspersed within the signal, in addition.",y,y,n,interspersed' = scattered/sporadic noise — plausibly describes ±spikes; doesn't cleanly pin pervasive noise vs isolated spikes
138,2,sushi:step\23\0000007,step,negative spike,"Also, the signal is interspersed with significant negative spikes.","Showing a rhythmic tendency to repeat at regular intervals, the signal is similar to an inverse sawtooth wave. Also, the signal is interspersed with significant negative spikes.",y,y,y,
139,2,sushi:pn_spike\00\0000007,positive-and-negative spike,positive spike,"Positive spikes of considerable size are frequently in the signal, in addition.","The trajectory remains stable and does not fluctuate from a specific value. Positive spikes of considerable size are frequently in the signal, in addition.",y,y,n,±spike truth: considerable positive spikes frequently present — claim still true
140,2,sushi:step\23\0000003,step,smooth,"In general, the signal is smooth with slight spikes.","Signal, like a reverse sawtooth wave, shows a rhythmic sequence. In general, the signal is smooth with slight spikes.",y,y,y,
141,2,sushi:smooth\23\0000005,smooth,positive-and-negative spike,"In addition, the signal frequently shows spikes of considerable magnitude, both positive and negative.","Signal, similar to an inverse sawtooth wave, shows a pattern that reverberates at regular intervals. In addition, the signal frequently shows spikes of considerable magnitude, both positive and negative.",y,y,y,
142,2,sushi:smooth\20\0000004,smooth,step,"Additionally, there are large step changes throughout the signal.","Signal manifests a periodic, sine wave-like pattern. Additionally, there are large step changes throughout the signal.",y,y,y,
143,2,sushi:step\21\0000004,step,noisy,"Besides, the signal is frequently tainted by considerable noise.","The signal shows a rhythmic pattern, similar to a square wave, that recurs at regular intervals. Besides, the signal is frequently tainted by considerable noise.",y,y,y,"step→noisy: steps are clean level shifts, not noise — distinguishable; kept y"
144,2,sushi:step\08\0000004,step,negative spike,"Besides, the signal shows large negative spikes intermittently.","The trajectory is nearing saturation through the rise of inverse exponential decay. Besides, the signal shows large negative spikes intermittently.",y,y,y,
145,2,sushi:n_spike\06\0000002,negative spike,positive spike,"Large positive spikes saturate the signal, furthermore.","The inclination shows a decreasing inverse exponential upswing, signified by a severe downturn as it approaches its conclusion. Large positive spikes saturate the signal, furthermore.",y,y,y,
146,2,sushi:noisy\03\0000002,noisy,smooth,"Mainly, the signal shows a smooth pattern with slight irregularities.","The progression, conforming to a concave curve identical to a quadratic function, initially slopes and then descends. Mainly, the signal shows a smooth pattern with slight irregularities.",y,y,y,
147,2,sushi:pn_spike\10\0000008,positive-and-negative spike,noisy,"Equally importantly, the signal is characterised by intermittent and considerable noise.","The path is always going down like an upside-down S-curve, and it's starting to slow down as it gets close to a certain point. Equally importantly, the signal is characterised by intermittent and considerable noise.",y,y,n,intermittent and considerable noise' plausibly also describes ±spikes — same issue as rows 4/74; not clearly false
148,2,sushi:p_spike\07\0000006,positive spike,positive-and-negative spike,"In addition, the signal frequently shows positive and negative spikes.","The development is signified by a decrease, moving towards a certain value via exponential decay. In addition, the signal frequently shows positive and negative spikes.",y,y,y,"no magnitude, but claims both polarities and truth has no negative spikes — false, ok"
149,2,sushi:p_spike\11\0000001,positive spike,negative spike,Intermittent negative spikes are in the signal.,"The progression reflects the curve of a positive cubic function, escalating, descending, and then rising again, producing an inverted S-shape rotated 90 degrees. Intermittent negative spikes are in the signal.",y,y,y,
150,2,sushi:step\07\0000004,step,positive spike,"Also, the signal frequently exhibits positive spikes of noticeable size.","Flow marked by decrease nears a certain value through exponential decay. Also, the signal frequently exhibits positive spikes of noticeable size.",y,y,y,
151,2,sushi:noisy\14\0000008,noisy,smooth,Minor interruptions remain in the smooth signal.,"First descending, then ascending, the pattern follows an upside-down Gaussian function, both ends becoming a fixed value. Minor interruptions remain in the smooth signal.",y,y,y,
152,2,sushi:noisy\10\0000008,noisy,step,Signal has considerable step changes.,"The process shows a pattern of consistent downward movement, like an inverse sigmoid curve drawing a mirrored S-shape, with its rate of decrease gradually subsiding, finally approaching a specific value. Signal has considerable step changes.",y,y,y,clause missing article ('Signal has considerable step changes') — telegraphic but parses
153,2,sushi:step\06\0000008,step,noisy,"A significant amount of noise permeates the signal, in addition.","Decreasing inverse exponential growth with a drop is exhibited by the lapse. A significant amount of noise permeates the signal, in addition.",y,y,y,"step→noisy: 'permeates' pins pervasive noise, steps are clean level shifts — ok; retained trend clause 'exhibited by the lapse' awkward"
154,2,sushi:p_spike\11\0000006,positive spike,negative spike,"Besides, the signal shows large negative spikes intermittently.","The trend is like a hill, it starts by going up, then down, then up again, forming a sideways S shape if you flip it. Besides, the signal shows large negative spikes intermittently.",y,y,y,
155,2,sushi:n_spike\08\0000007,negative spike,positive spike,"Additionally, the signal is scattered with large positive spikes.","The trend shows increasing inverse decay as it converges towards saturation. Additionally, the signal is scattered with large positive spikes.",y,y,y,
156,2,sushi:n_spike\09\0000003,negative spike,smooth,"Generally, the signal is smooth with minor spikes.","Analogous to a sigmoid curve, the progression illustrates a steady upward trend, with the speed of increase gradually diminishing, eventually culminating at a specific value. Generally, the signal is smooth with minor spikes.",y,y,y,
157,2,sushi:smooth\13\0000002,smooth,step,"Notably, the signal is characterised by large step changes at various points.","Initially ascending and later descending, the drift is consistent with a Gaussian function, with both ends finally equal to a constant. Notably, the signal is characterised by large step changes at various points.",y,y,y,
158,2,sushi:noisy\07\0000006,noisy,positive-and-negative spike,"Additionally, the signal is peppered with large positive and negative spikes.","A value is inclined to by the tendency through exponential decay. Additionally, the signal is peppered with large positive and negative spikes.",y,y,y,noisy→±spike: 'peppered with LARGE spikes' distinguishes from noise — kept y; retained trend clause 'A value is inclined to by the tendency' is tortured passive (both captions share it)
159,2,sushi:step\03\0000007,step,negative spike,Negative spikes interrupt the signal.,"Similar to a concave curve, the trend initially ascends and then descends. Negative spikes interrupt the signal.",y,y,y,"no magnitude, but spikes revert vs steps persist — class-distinguishing; ok"
160,2,sushi:smooth\05\0000004,smooth,positive spike,"Also, the signal frequently exhibits positive spikes of noticeable size.","The trend is recognised by an exponential increase, with a sharp ascent towards the peak. Also, the signal frequently exhibits positive spikes of noticeable size.",y,y,y,
161,2,sushi:noisy\09\0000000,noisy,smooth,Slight noise remains in the smooth signal.,"The process shows an upward trend, similar to a sigmoid curve, settles at a value, while its expansion decelerates. Slight noise remains in the smooth signal.",y,y,y,
162,2,sushi:p_spike\13\0000006,positive spike,noisy,"A large amount of noise covers the signal throughout, furthermore.","The fashion is like a hill, it goes up first and then comes down, with both ends ending up at the same point. A large amount of noise covers the signal throughout, furthermore.",y,y,y,
163,2,sushi:noisy\02\0000004,noisy,step,"In addition, the signal is separated by step changes of considerable magnitude.","The trajectory is experiencing a constant linear decrease. In addition, the signal is separated by step changes of considerable magnitude.",y,y,y,separated by step changes' odd collocation; judgment unaffected
164,2,sushi:p_spike\14\0000009,positive spike,negative spike,Frequent negative spikes are in the signal.,"Following an inverted Gaussian function, the trend initially descends then ascends, with both ends converging to a value. Frequent negative spikes are in the signal.",y,y,y,
165,2,sushi:noisy\11\0000001,noisy,positive spike,"Additionally, there are large positive spikes throughout the signal.","The pattern follows the graph of a positive cubic function, first increasing, then decreasing in the middle, and finally increasing once more. This forms a mirrored S-shape that's been rotated by 90 degrees. Additionally, there are large positive spikes throughout the signal.",y,y,y,
166,2,sushi:n_spike\01\0000001,negative spike,smooth,"Mainly, minor noise is observed in the smooth signal.","Rising constantly is the pattern. Mainly, minor noise is observed in the smooth signal.",y,y,y,
167,2,sushi:step\20\0000001,step,noisy,The signal contains frequent noise.,"Signal presents a periodically repeating pattern that echoes a sinusoidal wave, consistent over a fixed time frame. The signal contains frequent noise.",y,n,n,contains frequent noise' has no magnitude — minor noise plausible in any signal; neither pins 'noisy' class nor is clearly false for step truth (same as row 15)
168,2,sushi:p_spike\09\0000001,positive spike,step,"Also, there are substantial step changes throughout the signal.","The pattern is consistently going up like an S-curve, and it's slowing down as it gets close to a certain value. Also, there are substantial step changes throughout the signal.",y,y,y,
169,2,sushi:smooth\07\0000007,smooth,positive-and-negative spike,"Also, the signal scatters sizable positive and negative spikes.","The pathway is marked by a decrease and is drawn to a specific value by exponential decay. Also, the signal scatters sizable positive and negative spikes.",y,y,y,"the signal scatters sizable... spikes' — odd transitive use, parses; swap judgment unaffected"
170,2,sushi:noisy\20\0000006,noisy,negative spike,"Negative spikes of considerable size are frequently contained in the signal, in addition.","The signal, mirroring a sinusoidal wave, presents a pattern that repeats at regular intervals. Negative spikes of considerable size are frequently contained in the signal, in addition.",y,y,y,
171,2,sushi:step\22\0000006,step,positive spike,Frequent positive spikes are found in the signal.,"The signal demonstrates a pattern that perpetually reiterates at regular intervals, like a sawtooth wave. Frequent positive spikes are found in the signal.",y,y,y,
172,2,sushi:noisy\06\0000004,noisy,smooth,Minor noise is in the smooth signal.,Decreasing inverse exponential development with a depression is shown by the direction. Minor noise is in the smooth signal.,y,y,y,
173,2,sushi:p_spike\24\0000005,positive spike,noisy,"A large amount of noise covers the signal throughout, furthermore.","The signal, mirroring a triangular wave, presents a rhythm that is regularly replicated. A large amount of noise covers the signal throughout, furthermore.",y,y,y,
174,2,sushi:step\24\0000002,step,negative spike,The signal has considerable negative spikes.,"Like a triangular wave, the signal presents a regular rhythm. The signal has considerable negative spikes.",y,y,y,
175,2,sushi:pn_spike\01\0000001,positive-and-negative spike,positive spike,"In the same vein, the signal is occasionally interrupted by large positive spikes.","The course represents a continual linear increase. In the same vein, the signal is occasionally interrupted by large positive spikes.",y,y,n,±spike truth does contain large positive spikes; 'occasionally interrupted' fits — claim still true
176,2,sushi:pn_spike\07\0000003,positive-and-negative spike,smooth,"Generally speaking, the signal is smooth, showing only minor disturbances and fluctuations.","The pathway is marked by a decrease and is drawn to a specific value by exponential decay. Generally speaking, the signal is smooth, showing only minor disturbances and fluctuations.",y,y,y,
177,2,sushi:pn_spike\00\0000007,positive-and-negative spike,step,"In addition, the signal is separated by step changes of considerable magnitude.","The trajectory remains stable and does not fluctuate from a specific value. In addition, the signal is separated by step changes of considerable magnitude.",y,y,y,separated by step changes' odd collocation; spikes-vs-steps still distinguishable — kept y
178,2,sushi:n_spike\14\0000000,negative spike,noisy,"A large amount of noise covers the signal throughout, furthermore.","The course is like a valley, starting with a drop and then a rise, and both ends finishing at the same level. A large amount of noise covers the signal throughout, furthermore.",y,y,y,
179,2,sushi:step\07\0000004,step,positive-and-negative spike,"In addition, the signal frequently shows positive and negative spikes.","Flow marked by decrease nears a certain value through exponential decay. In addition, the signal frequently shows positive and negative spikes.",y,y,y,
180,2,sushi:step\03\0000004,step,negative spike,Large negative spikes separate the signal.,"The pattern mimics a concave curve, initially rising and falling. Large negative spikes separate the signal.",y,y,y,"spikes separate the signal' odd collocation, parses; swap judgment unaffected"
181,2,sushi:noisy\02\0000001,noisy,positive spike,"Frequent positive spikes of significant magnitude are in the signal, moreover.","The path is linearly declining at a steady pace. Frequent positive spikes of significant magnitude are in the signal, moreover.",y,y,y,
182,2,sushi:p_spike\08\0000007,positive spike,smooth,Slight noise remains in the smooth signal.,"With an increase in inverted exponential decay, the trend is approaching saturation. Slight noise remains in the smooth signal.",y,y,y,
183,2,sushi:step\07\0000009,step,noisy,"Substantial noise plagues the signal throughout, additionally.","Trajectories decrease and approach a specific value via exponential decay. Substantial noise plagues the signal throughout, additionally.",y,y,y,
184,2,sushi:n_spike\00\0000001,negative spike,step,"In the same vein, large step changes are seen intermittently within the signal.","Trend unwavering, no modifications from values. In the same vein, large step changes are seen intermittently within the signal.",y,y,y,"retained trend clause 'Trend unwavering, no modifications from values' awkward (both captions share it); swap clean"
185,2,sushi:p_spike\20\0000004,positive spike,negative spike,"Additionally, there are large negative spikes throughout the signal.","The signal portrays a recurring pattern at regular intervals, much like a sinusoidal wave. Additionally, there are large negative spikes throughout the signal.",y,y,y,
186,2,sushi:pn_spike\21\0000000,positive-and-negative spike,positive spike,"Frequent positive spikes of significant magnitude are in the signal, moreover.","Similar to a square wave, the signal displays a repeating pattern. Frequent positive spikes of significant magnitude are in the signal, moreover.",y,y,n,±spike truth: frequent significant positive spikes present — claim still true
187,2,sushi:step\04\0000009,step,smooth,"Generally, the signal is smooth with minor noise.","Decreasing and increasing, the line is like a convex curve. Generally, the signal is smooth with minor noise.",y,y,y,
188,2,sushi:smooth\06\0000004,smooth,noisy,"A considerable amount of noise litters the signal, in addition.","The trend, ending with a fall, shows decreasing inverse exponential growth. A considerable amount of noise litters the signal, in addition.",y,y,y,
189,2,sushi:pn_spike\06\0000002,positive-and-negative spike,step,Step changes of large magnitude are a common occurrence in the signal.,"Characterised by a sharp decline towards the end, the pathway exhibits a diminishing inverse exponential multiplier. Step changes of large magnitude are a common occurrence in the signal.",y,y,y,
190,2,sushi:smooth\22\0000008,smooth,positive-and-negative spike,"Furthermore, the signal is sporadically interrupted by large positive and negative spikes throughout.","Like a sawtooth wave, the signal shows a periodic pattern. Furthermore, the signal is sporadically interrupted by large positive and negative spikes throughout.",y,y,y,sporadically ... throughout' mildly contradictory wording; claim clearly false for smooth truth — kept y
191,2,sushi:step\22\0000000,step,negative spike,"Besides, the signal shows large negative spikes intermittently.","A recurrent pattern, similar to a sawtooth wave, is manifested by the signal. Besides, the signal shows large negative spikes intermittently.",y,y,y,
192,2,sushi:noisy\13\0000004,noisy,positive spike,"Large positive spikes saturate the signal, furthermore.","Firstly ascending and then descending, the pattern follows the shape of a Gaussian function, with both ends eventually becoming a fixed value. Large positive spikes saturate the signal, furthermore.",y,y,y,
193,2,sushi:pn_spike\01\0000001,positive-and-negative spike,smooth,"Generally, the signal shows a smooth trajectory, with only a little noise and rare spikes.","The course represents a continual linear increase. Generally, the signal shows a smooth trajectory, with only a little noise and rare spikes.",y,y,y,"rare spikes' concedes some spikes, but 'smooth... only a little noise' contradicts LARGE ±spikes on magnitude — hesitated, kept y"
194,2,sushi:pn_spike\08\0000001,positive-and-negative spike,noisy,"A significant amount of noise is interspersed within the signal, in addition.","The trajectory is on its way to saturation due to the growth of inverse exponential decay. A significant amount of noise is interspersed within the signal, in addition.",y,y,n,"noise interspersed within the signal' = scattered, plausibly describes sporadic ±spikes — not clearly false (same as row 137)"
195,2,sushi:pn_spike\11\0000006,positive-and-negative spike,step,"Also, there are substantial step changes throughout the signal.","The pattern resembles the trajectory of a positive cubic function, starting with an increase, then a decrease in the middle and finally returning to an upward trend. This forms an inverted, 90-degree rotated S-shape. Also, there are substantial step changes throughout the signal.",y,y,y,
196,2,sushi:step\23\0000003,step,negative spike,"Additionally, there are large negative spikes throughout the signal.","Signal, like a reverse sawtooth wave, shows a rhythmic sequence. Additionally, there are large negative spikes throughout the signal.",y,y,y,
197,2,sushi:noisy\05\0000001,noisy,positive spike,"Additionally, the signal is plagued by substantial positive spikes throughout.","The trajectory is known for its exponential escalation, leading to a sharp increase at the culmination. Additionally, the signal is plagued by substantial positive spikes throughout.",y,y,y,
198,2,sushi:n_spike\13\0000003,negative spike,smooth,"Mainly, the signal shows a smooth pattern with slight irregularities.","The course is modeled after a Gaussian function, with an initial climb followed by a descent, and both ends eventually reaching a constant. Mainly, the signal shows a smooth pattern with slight irregularities.",y,y,y,
199,2,sushi:n_spike\11\0000008,negative spike,noisy,"Substantial noise plagues the signal throughout, additionally.","The pathway follows the curve of a positive cubic function, initially escalating, then declining in the middle, and finally escalating once more. This results in a mirrored S-shape that's been rotated by 90 degrees. Substantial noise plagues the signal throughout, additionally.",y,y,y,n_spike→noisy: 'plagues throughout' pins pervasive noise — false for sporadic spikes; kept y
200,2,sushi:step\01\0000003,step,positive-and-negative spike,"Additionally, the signal is peppered with large positive and negative spikes.","The trend is escalating at a persistent and steady speed. Additionally, the signal is peppered with large positive and negative spikes.",y,y,y,
201,3,sushi:step\14\0000007,step,negative spike,"Also, the signal displays significant negative spikes throughout.","Initially going down, then going up, the trend reflects the trajectory of an inverse Gaussian function, both ends stabilizing at a specific value. Also, the signal displays significant negative spikes throughout.",y,y,y,
202,3,sushi:pn_spike\22\0000008,positive-and-negative spike,positive spike,"Frequent positive spikes of significant magnitude are in the signal, moreover.","The signal, akin to saw waves, shows a systematic repetition. Frequent positive spikes of significant magnitude are in the signal, moreover.",y,y,n,±spike truth: frequent significant positive spikes present — claim still true
203,3,sushi:noisy\13\0000004,noisy,smooth,Minor interruptions remain in the smooth signal.,"Firstly ascending and then descending, the pattern follows the shape of a Gaussian function, with both ends eventually becoming a fixed value. Minor interruptions remain in the smooth signal.",y,y,y,
204,3,sushi:p_spike\11\0000006,positive spike,step,Large step changes are evident in the signal.,"The trend is like a hill, it starts by going up, then down, then up again, forming a sideways S shape if you flip it. Large step changes are evident in the signal.",y,y,y,
205,3,sushi:smooth\02\0000005,smooth,noisy,"Considerable noise frequently taints the signal, besides.","The linear decrease is evident in the trend. Considerable noise frequently taints the signal, besides.",y,y,y,
206,3,sushi:noisy\07\0000000,noisy,negative spike,"Also, the signal has sizeable negative spikes at various intervals.","The metamorphosis is indicated by a decreasing trend and edges towards a specific value by exponential decay. Also, the signal has sizeable negative spikes at various intervals.",y,y,y,noisy→negative spike: 'sizeable' gives magnitude — distinguishes from jitter; kept y
207,3,sushi:n_spike\00\0000005,negative spike,positive spike,"Additionally, there are large positive spikes throughout the signal.","The direction is sustained without any alterations from a specific value. Additionally, there are large positive spikes throughout the signal.",y,y,y,
208,3,sushi:pn_spike\05\0000007,positive-and-negative spike,smooth,"Primarily, only slight interference and occasional spikes are observed in the smooth signal.","The trajectory's exponential escalation leads to a sharp culmination ascent. Primarily, only slight interference and occasional spikes are observed in the smooth signal.",y,y,y,"only slight interference and occasional spikes' concedes spikes but 'only slight'+'smooth' contradicts LARGE ±spikes — hesitated, kept y"
209,3,sushi:n_spike\13\0000003,negative spike,step,"Additionally, the signal contains a high number of step changes.","The course is modeled after a Gaussian function, with an initial climb followed by a descent, and both ends eventually reaching a constant. Additionally, the signal contains a high number of step changes.",y,y,y,
210,3,sushi:step\06\0000005,step,noisy,"Additionally, the signal is plagued by substantial noise throughout.","The inclination shows decreasing inverse exponential upswing with a downturn. Additionally, the signal is plagued by substantial noise throughout.",y,y,y,
211,3,sushi:p_spike\00\0000007,positive spike,positive-and-negative spike,"Both large positive and negative spikes fill the signal, significantly.","The trend stays constant, no alterations from the value. Both large positive and negative spikes fill the signal, significantly.",y,y,y,"p_spike→±spike: claims both polarities, truth has no negative spikes — false, ok"
212,3,sushi:noisy\14\0000008,noisy,negative spike,The signal has considerable negative spikes.,"First descending, then ascending, the pattern follows an upside-down Gaussian function, both ends becoming a fixed value. The signal has considerable negative spikes.",y,y,y,noisy→negative spike with magnitude ('considerable') — kept y
213,3,sushi:smooth\23\0000006,smooth,positive spike,"Large positive spikes frequently taint the signal, besides.","Signal, resembling an inverse sawtooth wave, exhibits a sequence that recurs at regular intervals. Large positive spikes frequently taint the signal, besides.",y,y,y,
214,3,sushi:pn_spike\21\0000003,positive-and-negative spike,smooth,"By and large, the smooth signal remains with only slight noise and spikes.","Mirroring a square wave, the signal shows a pattern that repeats regularly at regular intervals. By and large, the smooth signal remains with only slight noise and spikes.",y,y,y,the smooth signal remains with only slight noise and spikes' awkward phrasing; magnitude still contradicts large ±spikes — kept y
215,3,sushi:p_spike\05\0000006,positive spike,noisy,"A considerable amount of noise litters the signal, in addition.","The trend shows exponential increase, with a sharp escalation at the end. A considerable amount of noise litters the signal, in addition.",y,y,n,"litters' = scattered considerable noise — plausibly describes sporadic large positive spikes; non-pervasive wording, not clearly false"
216,3,sushi:pn_spike\24\0000002,positive-and-negative spike,step,"Equally important, the signal exhibits significant step changes at different intervals.","The signal, comparable to a triangular wave, illustrates a uniform pattern. Equally important, the signal exhibits significant step changes at different intervals.",y,y,y,
217,3,sushi:noisy\00\0000001,noisy,negative spike,"Equally important, the signal is characterised by intermittent negative spikes of considerable magnitude.","The pattern is constant and doesn't deviate from a specific value. Equally important, the signal is characterised by intermittent negative spikes of considerable magnitude.",y,y,y,noisy→negative spike: 'intermittent... considerable magnitude' distinguishes from continuous noise — kept y
218,3,sushi:step\13\0000002,step,positive spike,"Large positive spikes are throughout the signal, additionally.","The trend is like a hill, going up first and then coming down, with both ends at the same level. Large positive spikes are throughout the signal, additionally.",y,y,y,
219,3,sushi:step\09\0000000,step,smooth,"Generally speaking, the signal is smooth, showing only minor disturbances and fluctuations.","The trend indicates an upward pattern, akin to a sigmoid curve, with a decreasing growth rate, reaching a value. Generally speaking, the signal is smooth, showing only minor disturbances and fluctuations.",y,y,y,
220,3,sushi:p_spike\01\0000007,positive spike,positive-and-negative spike,"In addition, the signal frequently shows positive and negative spikes.","Steady escalation is observed in the trend. In addition, the signal frequently shows positive and negative spikes.",y,y,y,"no magnitude, but claims both polarities and truth has no negative spikes — false, ok"
221,3,sushi:p_spike\09\0000001,positive spike,noisy,"A large amount of noise saturates the signal, furthermore.","The pattern is consistently going up like an S-curve, and it's slowing down as it gets close to a certain value. A large amount of noise saturates the signal, furthermore.",y,y,y,p_spike→noisy: 'saturates' pins pervasive noise — false for sporadic spikes; kept y
222,3,sushi:noisy\08\0000004,noisy,negative spike,"Additionally, the signal is marked by considerable negative spikes at different points.","The trajectory is being moved towards saturation by increasing inverse decay. Additionally, the signal is marked by considerable negative spikes at different points.",y,y,y,
223,3,sushi:noisy\23\0000007,noisy,positive spike,"Positive spikes of considerable size are frequently in the signal, in addition.","The signal demonstrates a repeating rhythm at regular intervals, comparable to an inverse sawtooth wave. Positive spikes of considerable size are frequently in the signal, in addition.",y,y,y,
224,3,sushi:pn_spike\10\0000006,positive-and-negative spike,smooth,A large part of the signal is smooth with minor interference.,"Similar to an inverted sigmoid curve, the process shows a descending trend, with the descent subsiding, finally approaching a value. A large part of the signal is smooth with minor interference.",y,y,y,"A large part of the signal is smooth...' — grammatical here (unlike the 'Large part,' truncations); q1 ok"
225,3,sushi:p_spike\05\0000006,positive spike,step,"Additionally, the signal contains a high number of step changes.","The trend shows exponential increase, with a sharp escalation at the end. Additionally, the signal contains a high number of step changes.",y,y,y,
226,3,sushi:p_spike\23\0000003,positive spike,noisy,"Considerable amounts of noise fill the signal, also.","Signal shows a regular pattern like an inverse sawtooth wave. Considerable amounts of noise fill the signal, also.",y,y,y,p_spike→noisy: 'fill' pins pervasive noise — false for sporadic spikes; kept y
227,3,sushi:p_spike\12\0000001,positive spike,negative spike,"Besides, the signal is interrupted sporadically by large negative spikes.","Starting with a dip, increasing at the midpoint and finally dipping again, the trend is akin to the curve of a negative cubic function. This forms an S-shape rotated by 90 degrees. Besides, the signal is interrupted sporadically by large negative spikes.",y,y,y,
228,3,sushi:step\23\0000003,step,positive spike,"Additionally, the signal is scattered with large positive spikes.","Signal, like a reverse sawtooth wave, shows a rhythmic sequence. Additionally, the signal is scattered with large positive spikes.",y,y,y,
229,3,sushi:pn_spike\08\0000007,positive-and-negative spike,smooth,"Generally speaking, minor disturbances and fluctuations are shown in the smooth signal.","Escalating inverse exponential decay is making the trend near saturation. Generally speaking, minor disturbances and fluctuations are shown in the smooth signal.",y,y,y,
230,3,sushi:n_spike\04\0000003,negative spike,step,"Additionally, the signal contains a high number of step changes.","The route follows a convex curve, like a quadratic function, first descending, then rising rapidly. Additionally, the signal contains a high number of step changes.",y,y,y,
231,3,sushi:smooth\05\0000008,smooth,positive-and-negative spike,"Also, the signal is laced with large positive and negative spikes throughout.","Ending with a sharp end spike, the trend is illustrated by exponential expansion. Also, the signal is laced with large positive and negative spikes throughout.",y,y,y,
232,3,sushi:n_spike\09\0000001,negative spike,noisy,Intermittent noise is in the signal.,"Resembling an S-shaped sigmoid curve, the pattern manifests an unbroken ascending trend, which progressively slows down its rate of increase and eventually nears a constant value. Intermittent noise is in the signal.",y,n,n,"Intermittent noise is in the signal' — no magnitude: doesn't pin the noisy class (minor noise plausible anywhere), and intermittent disturbances genuinely occur in a spike signal — neither pins swap_to nor clearly false"
233,3,sushi:p_spike\09\0000007,positive spike,negative spike,Large negative spikes are present in the signal.,"Echoing an S-shaped sigmoid curve, the trajectory shows a steady ascent, with its rate of increase slowing, eventually nearing a constant value. Large negative spikes are present in the signal.",y,y,y,
234,3,sushi:pn_spike\14\0000000,positive-and-negative spike,positive spike,"Furthermore, the signal is sporadically interrupted by large positive spikes throughout.","The shift is in tune with an inverted Gaussian function, dropping at first and then climbing, with both ends eventually equating to a constant value. Furthermore, the signal is sporadically interrupted by large positive spikes throughout.",y,y,n,±spike truth: large positive spikes genuinely present — claim still true (subset)
235,3,sushi:step\08\0000005,step,smooth,"In general, the signal is smooth with slight spikes.","The course is on the path to saturation due to the burgeoning inverse exponential decay. In general, the signal is smooth with slight spikes.",y,y,y,
236,3,sushi:p_spike\01\0000007,positive spike,step,"Also, there are notable step changes scattered throughout the signal.","Steady escalation is observed in the trend. Also, there are notable step changes scattered throughout the signal.",y,y,y,
237,3,sushi:step\07\0000004,step,negative spike,"Also, the signal has sizeable negative spikes at various intervals.","Flow marked by decrease nears a certain value through exponential decay. Also, the signal has sizeable negative spikes at various intervals.",y,y,y,
238,3,sushi:noisy\22\0000001,noisy,positive spike,Positive spikes separate the signal.,"A periodic pattern, similar to a sawtooth wave, is reflected by the signal. Positive spikes separate the signal.",y,y,y,"Positive spikes separate the signal' — odd collocation; no magnitude vs noisy truth: 'spikes' still implies discrete impulses vs continuous jitter — hesitated, kept y"
239,3,sushi:pn_spike\04\0000004,positive-and-negative spike,smooth,A large part of the signal is smooth with minor interference.,"The trajectory follows a convex curve similar to a quadratic function, initially descending and then ascending. A large part of the signal is smooth with minor interference.",y,y,y,
240,3,sushi:pn_spike\04\0000004,positive-and-negative spike,noisy,"Equally importantly, the signal is characterised by intermittent and considerable noise.","The trajectory follows a convex curve similar to a quadratic function, initially descending and then ascending. Equally importantly, the signal is characterised by intermittent and considerable noise.",y,y,n,intermittent and considerable noise' plausibly describes ±spikes; non-pervasive — not clearly false
