# N3 census sheet | 289 flagged items not in the 100-sample | rules R1-R3 in the flag column | same two-part y/n test and mechanics as the sample,,,,,,,,,,
reading_order,item_id,duration_class,flags,swap_from,swap_to,clause_replaced_from,clause_replaced_to,swapped_caption_to_judge,y_or_n,notes
30,N3|1141|swap,28_days,R2:\bindicat\w+\b;\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b,down,up,"The temperature has shown a significant downward trend, with values ranging from a high of 11.55°C to a low of -21.68°C, indicating a cold period with notable volatility and several outliers.","The temperature has shown a significant upward trend, with values ranging from a high of 11.55°C to a low of -21.68°C, indicating a cold period with notable volatility and several outliers.","Weather time series location: The weather data is for Penobscot County, Maine. Time range: The past 28 days have been from December 4, 2018, to December 31, 2018. The weather is Cold, Cloudy, Rainy, Windy, Humid. The temperature has shown a significant upward trend, with values ranging from a high of 11.55°C to a low of -21.68°C, indicating a cold period with notable volatility and several outliers. 
 Precipitation has been minimal, with most days recording no rainfall, but notable peaks of 4.25mm and 4.28mm on specific days, suggesting sporadic light rain events. 
 Relative humidity has varied, generally remaining high, with values fluctuating between 35.5% and 96.58%, indicating a humid atmosphere, particularly during colder periods. 
 Visibility has mostly been good, with values around 16.09 km, but some instances of reduced visibility down to 1.01 km during specific weather events. 
 Wind direction has also varied, with values ranging from -3.93 m/s to 7.64 m/s, contributing to the overall windy conditions experienced. 
 Wind velocity has shown variability, with values ranging from -5.94 m/s to 7.64 m/s, indicating periods of calm and windy conditions. 
 The sky cover has predominantly been overcast or cloudy, with frequent occurrences of clear skies, indicating a mix of weather conditions throughout the month.",y,
31,N3|1144|swap,28_days,R2:\bindicat\w+\b;\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b,down,up,"The temperature ranged from a low of -13.9°C to a high of 5.44°C, with a noticeable downward trend overall, particularly in the latter half of the period, indicating cold conditions.","The temperature ranged from a low of -13.9°C to a high of 5.44°C, with a noticeable upward trend overall, particularly in the latter half of the period, indicating cold conditions.","Weather time series location: The weather data is for Yates County, New York. Time range: The past 28 days from January 10, 2021, to February 6, 2021. The weather is Cold, Humid, Cloudy. The temperature ranged from a low of -13.9°C to a high of 5.44°C, with a noticeable upward trend overall, particularly in the latter half of the period, indicating cold conditions. 
 Precipitation was minimal, with most observations showing no rain, and only a few instances of light precipitation, indicating predominantly dry weather. 
 Relative humidity varied between 37.5% and 91.33%, showing a general trend of higher humidity levels, especially during colder periods, suggesting a humid atmosphere. 
 Visibility generally remained high, with occasional drops, particularly during periods of lower temperatures and higher humidity. 
 Wind direction showed variability, with both positive and negative values, suggesting changing wind patterns. 
 Wind velocity varied, with some notable peaks, indicating fluctuating wind conditions throughout the period. 
 Sky cover was predominantly overcast, with many instances of full cloud cover, indicating a lack of clear skies.",y,
32,N3|1150|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of -2.8°C to a high of 15.6°C, showing a general warming trend towards the end of the week, with noticeable fluctuations and a few outliers in the lower range.","The temperature ranged from a low of -2.8°C to a high of 15.6°C, showing a general cooling trend towards the end of the week, with noticeable fluctuations and a few outliers in the lower range.","Weather time series location: Aroostook County, Maine experienced varied weather conditions. Time range: The past week from April 24 to April 30, 2022. The weather is Clear, Cloudy, Rainy, Windy, Humid. The temperature ranged from a low of -2.8°C to a high of 15.6°C, showing a general cooling trend towards the end of the week, with noticeable fluctuations and a few outliers in the lower range. 
 Precipitation was minimal for most of the week, with a few days experiencing light rain, particularly towards the end of the week, where totals reached up to 2.5 mm. 
 Relative humidity fluctuated significantly, starting at 54% and dropping to as low as 30%, then rising again towards the end of the week, indicating a humid atmosphere, especially during rainy periods. 
 Visibility remained generally high, around 16.09 km, with some reductions during periods of precipitation. 
 Wind direction showed variability, with some hours experiencing significant shifts, particularly with gusts reaching up to 3.35 m/s. 
 Wind velocity varied, with some gusts reaching up to -10.3 m/s, indicating strong winds at times, particularly during the latter part of the week. 
 The sky cover was predominantly clear at the beginning of the week, transitioning to overcast conditions with significant cloud cover towards the end.",y,
33,N3|1152|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,down,up,"The temperature ranged from a low of -13.32°C to a high of 21.55°C, with noticeable fluctuations and a general trend of colder temperatures as the period progressed, particularly towards the end.","The temperature ranged from a low of -13.32°C to a high of 21.55°C, with noticeable fluctuations and a general trend of warmer temperatures as the period progressed, particularly towards the end.","Weather time series location: Itasca County, Minnesota. Time range: The past 28 days from October 19 to November 15, 2020. The weather is Cold, Cloudy, Rainy, Windy, Humid. The temperature ranged from a low of -13.32°C to a high of 21.55°C, with noticeable fluctuations and a general trend of warmer temperatures as the period progressed, particularly towards the end. 
 Precipitation was sporadic, with several days recording light rain, while some days experienced no precipitation at all; the highest recorded precipitation was 2.92 mm. 
 Relative humidity varied significantly, peaking at 98.11% and dropping to a low of 22.5%, indicating a generally humid atmosphere with occasional dry spells. 
 Visibility remained mostly good, averaging around 16.09 km, with occasional drops due to weather conditions. 
 Wind direction showed variability, with some periods experiencing significant shifts in wind patterns. 
 Wind velocity varied, with notable gusts reaching up to 9.08 m/s, indicating periods of windy conditions. 
 The sky cover fluctuated between clear and overcast conditions, with several days experiencing complete overcast skies.",y,
34,N3|115|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of -0.43°C to a high of 19.27°C, with noticeable fluctuations and a general upward trend towards the end of the period.","The temperature ranged from a low of -0.43°C to a high of 19.27°C, with noticeable fluctuations and a general downward trend towards the end of the period.","Weather time series location: The weather data is for Tulare, California. Time range: The past 28 days from December 12, 2022, to January 8, 2023. The weather is Clear, Cloudy, Rainy, Humid, Cold. The temperature ranged from a low of -0.43°C to a high of 19.27°C, with noticeable fluctuations and a general downward trend towards the end of the period. 
 Precipitation was consistent, with most days recording around 0.86 mm, but there were notable spikes on certain days, indicating occasional rain events. 
 Relative humidity varied significantly, with values ranging from 49.0% to 100%, showing a trend of higher humidity levels, particularly towards the end of the period. 
 Visibility generally remained high, averaging around 16.09 km, with occasional drops due to weather conditions. 
 Wind direction showed variability, with both positive and negative values indicating shifts in wind patterns. 
 Wind velocity varied, with notable gusts recorded, particularly towards the end of the period. 
 The sky cover ranged from clear to overcast, with several days experiencing significant cloud cover.",y,
35,N3|1161|swap,week,R2:\bindicat\w+\b;\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b | R3:decreasing humidity as temperatures,up,down,"The temperature ranged from a low of 1.2°C to a high of 26.6°C, showing a noticeable warming trend towards the end of the week, with daily fluctuations indicating a periodic pattern.","The temperature ranged from a low of 1.2°C to a high of 26.6°C, showing a noticeable cooling trend towards the end of the week, with daily fluctuations indicating a periodic pattern.","Weather time series location: The weather was reported for Christian, Kentucky. Time range: The past week from April 14 to April 20, 2019. The weather is Clear, Cloudy, Rainy, Humid, Windy. The temperature ranged from a low of 1.2°C to a high of 26.6°C, showing a noticeable cooling trend towards the end of the week, with daily fluctuations indicating a periodic pattern. 
 Precipitation was variable, with significant rainfall on certain days, particularly on April 14 and April 19, where totals reached up to 5.3 mm, indicating a generally rainy pattern. 
 Relative humidity levels were high, often reaching 100% during the early hours, with a gradual decrease throughout the day, showing a trend of decreasing humidity as temperatures rose. 
 Visibility remained mostly stable, averaging around 16.09 km, with some reductions noted during periods of precipitation. 
 Wind direction showed variability, with some strong gusts recorded, particularly from the northwest. 
 Wind velocity varied, with notable gusts reaching up to 9.65 m/s, particularly during the early part of the week. 
 Sky cover fluctuated throughout the week, with a mix of clear to overcast conditions, predominantly cloudy on several days.",y,
36,N3|1177|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 21.7°C to a high of 33.9°C, with noticeable fluctuations and a general warming trend towards the middle of the week.","The temperature ranged from a low of 21.7°C to a high of 33.9°C, with noticeable fluctuations and a general cooling trend towards the middle of the week.","Weather time series location: St. Johns, Florida experienced a variety of weather conditions. Time range: The past week from June 6 to June 12, 2019. The weather is Clear, Cloudy, Rainy, Humid, Windy. The temperature ranged from a low of 21.7°C to a high of 33.9°C, with noticeable fluctuations and a general cooling trend towards the middle of the week. 
 There were sporadic precipitation events, with a total of 16.63 mm recorded, including a significant outlier of 4.83 mm on June 12. 
 Relative humidity varied significantly, peaking at 100% and generally remaining high, with a notable decrease during the warmer parts of the day. 
 Visibility was predominantly good, averaging around 16.09 km, with occasional drops to as low as 3.22 km during periods of precipitation. 
 Wind direction showed variability, with some strong gusts recorded, particularly on June 12. 
 Wind velocity varied, with notable gusts reaching up to 6.57 m/s, indicating periods of breezy conditions. 
 Sky cover ranged from clear to overcast, with the majority of the week experiencing scattered clouds.",y,
37,N3|1181|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 14.54°C to a high of 31.44°C, with noticeable fluctuations and a general warming trend observed towards the end of the period.","The temperature ranged from a low of 14.54°C to a high of 31.44°C, with noticeable fluctuations and a general cooling trend observed towards the end of the period.","Weather time series location: Allen, Indiana. Time range: The past 28 days from July 18, 2023, to August 14, 2023. The weather is Clear, Cloudy, Rainy, Humid, Warm. The temperature ranged from a low of 14.54°C to a high of 31.44°C, with noticeable fluctuations and a general cooling trend observed towards the end of the period. 
 Precipitation was minimal overall, with significant events occurring on July 20 (10.81 mm) and August 9 (4.68 mm), indicating sporadic rainfall. 
 Relative humidity varied significantly, peaking at 96.29% and dropping to 41.6%, with a tendency for higher humidity levels during the early mornings and late evenings. 
 Visibility was generally good, with occasional reductions due to weather conditions, particularly during periods of precipitation. 
 Wind direction varied, with speeds ranging from -6.65 m/s to 5.33 m/s, indicating a mix of calm and breezy conditions. 
 Wind velocity ranged from -6.65 m/s to 6.29 m/s, with notable variability and occasional strong gusts. 
 Sky cover fluctuated throughout the period, with a mix of clear to overcast conditions, predominantly featuring scattered to broken clouds.",y,
38,N3|1199|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of -10.42°C to a high of 16.8°C, showing a general warming trend towards the end of the period, with noticeable fluctuations and some cold outliers.","The temperature ranged from a low of -10.42°C to a high of 16.8°C, showing a general cooling trend towards the end of the period, with noticeable fluctuations and some cold outliers.","Weather time series location: Oxford, Maine experienced a variety of weather conditions over the past month. Time range: The past 28 days from March 23, 2022, to April 19, 2022. The weather is Clear, Cloudy, Rainy, Windy, Humid, Cold. The temperature ranged from a low of -10.42°C to a high of 16.8°C, showing a general cooling trend towards the end of the period, with noticeable fluctuations and some cold outliers. 
 Precipitation was minimal for most of the period, with significant events occurring on a few days, including a peak of 6.43 mm, indicating sporadic rainy days. 
 Relative humidity varied significantly, with values ranging from 18.75% to 97.17%, showing a trend of higher humidity during precipitation events and lower values during clearer days. 
 Visibility remained mostly high, averaging around 16.09 km, with occasional drops due to weather conditions. 
 Wind direction fluctuated throughout the period, with both positive and negative values indicating variable wind patterns. 
 Wind velocity varied, with notable gusts and calm periods, indicating a mix of breezy and still conditions. 
 Sky cover ranged from clear to overcast, with a mix of clear and cloudy days, reflecting changing weather patterns.",y,
39,N3|1200|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of -2.8°C to a high of 21.7°C, with noticeable fluctuations and a general warming trend towards the end of the week.","The temperature ranged from a low of -2.8°C to a high of 21.7°C, with noticeable fluctuations and a general cooling trend towards the end of the week.","Weather time series location: Clark, Arkansas experienced variable weather conditions. Time range: The past week from December 4 to December 10, 2023. The weather is Clear, Cloudy, Rainy, Windy, Humid. The temperature ranged from a low of -2.8°C to a high of 21.7°C, with noticeable fluctuations and a general cooling trend towards the end of the week. 
 Precipitation was consistent, with frequent light rain recorded, peaking at 3.03 mm on one occasion, indicating a generally wet week. 
 Relative humidity levels varied significantly, starting at 100% and dropping to as low as 24%, with a trend towards drier conditions as the week progressed. 
 Visibility remained mostly clear, with occasional reductions due to weather conditions, particularly during periods of rain. 
 Wind direction showed variability, with shifts in speed and direction throughout the week, contributing to the overall weather dynamics. 
 Wind velocities varied, with notable gusts reaching up to 5.7 m/s, indicating breezy conditions at times. 
 The sky cover fluctuated from clear to overcast, with periods of scattered clouds and some overcast conditions noted.",y,
40,N3|1233|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 8.9°C to a high of 27.2°C, with noticeable fluctuations and a general warming trend towards the end of the week.","The temperature ranged from a low of 8.9°C to a high of 27.2°C, with noticeable fluctuations and a general cooling trend towards the end of the week.","Weather time series location: Scotland County, North Carolina experienced varied weather conditions. Time range: The past week from October 8 to October 14, 2022. The weather is Clear, Cloudy, Warm, Humid. The temperature ranged from a low of 8.9°C to a high of 27.2°C, with noticeable fluctuations and a general cooling trend towards the end of the week. 
 There was minimal precipitation, with most hours recording 0.0 mm, except for a few instances of light rain totaling 0.3 mm and 0.5 mm. 
 Relative humidity values ranged from 29.0% to 93.0%, showing a trend of decreasing humidity during the warmer parts of the day and higher values in the early morning and late evening. 
 Visibility remained consistently high, mostly around 16.09 km, with occasional drops to lower values during specific hours. 
 Wind direction showed variability, with values ranging from -4.75 m/s to 2.91 m/s, suggesting shifting wind patterns throughout the week. 
 Wind velocity varied, with values ranging from -5.52 m/s to 4.79 m/s, indicating periods of calm and stronger winds. 
 The sky cover fluctuated, with periods of clear skies (0/8) and scattered clouds (up to 8/8), indicating a mix of sunny and overcast conditions.",y,
41,N3|123|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 2.1°C to a high of 23.45°C, with noticeable fluctuations and a general trend of warming towards the end of the period.","The temperature ranged from a low of 2.1°C to a high of 23.45°C, with noticeable fluctuations and a general trend of cooling towards the end of the period.","Weather time series location: Merced, California. Time range: The past 28 days from March 8, 2020, to April 4, 2020. The weather is Clear, Cloudy, Humid, Windy. The temperature ranged from a low of 2.1°C to a high of 23.45°C, with noticeable fluctuations and a general trend of cooling towards the end of the period. 
 Precipitation was minimal, with several days recording no rain, but notable spikes occurred with a maximum of 3.07 mm on March 13. 
 Relative humidity varied significantly, peaking at 95.88% and dropping to 25.25%, indicating a trend of decreasing humidity over the period. 
 Visibility remained high for most of the period, generally around 16.09 km, with occasional drops to lower values during specific times. 
 Wind direction also fluctuated, with both positive and negative values indicating shifts in wind patterns throughout the period. 
 Wind velocity showed variability, with some strong gusts recorded, particularly negative values indicating wind direction changes. 
 Sky cover varied, with a mix of clear to overcast conditions, predominantly featuring clear skies early in the period and more cloud cover towards the end.",y,
42,N3|1243|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 12.7°C to a high of 35.78°C, with noticeable fluctuations and a general warming trend observed towards the end of the period.","The temperature ranged from a low of 12.7°C to a high of 35.78°C, with noticeable fluctuations and a general cooling trend observed towards the end of the period.","Weather time series location: UNION, NEW MEXICO experienced varied weather conditions. Time range: The past 28 days from August 12 to September 8, 2023. The weather is Clear, Cloudy, Hot, Windy. The temperature ranged from a low of 12.7°C to a high of 35.78°C, with noticeable fluctuations and a general cooling trend observed towards the end of the period. 
 Precipitation was minimal, with only a few instances recorded, the highest being 1.82 mm, indicating predominantly dry conditions. 
 Relative humidity varied significantly, with values ranging from 11.8% to 99.1%, showing a trend of higher humidity during the early mornings and lower during the afternoons. 
 Visibility remained consistently high, mostly around 16 km, with occasional drops due to weather conditions. 
 Wind direction varied, with some strong gusts recorded, particularly in the latter part of the period. 
 Wind velocity showed variability, with notable gusts reaching up to 8.77 m/s, indicating periods of windy conditions. 
 The sky cover fluctuated, with a mix of clear to overcast conditions, predominantly clear or few clouds observed.",y,
43,N3|1252|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of -26.17°C to a high of 3.0°C, showing a general warming trend towards the end of the period, with noticeable fluctuations and several days of extreme cold.","The temperature ranged from a low of -26.17°C to a high of 3.0°C, showing a general cooling trend towards the end of the period, with noticeable fluctuations and several days of extreme cold.","Weather time series location: The weather data is from Griggs County, North Dakota. Time range: The past 28 days have been from February 27, 2019, to March 26, 2019. The weather is Cold, Clear, Cloudy. The temperature ranged from a low of -26.17°C to a high of 3.0°C, showing a general cooling trend towards the end of the period, with noticeable fluctuations and several days of extreme cold. 
 There was no recorded precipitation throughout the 28 days, indicating a dry spell. 
 Relative humidity values varied between 60.08% and 100%, with a significant increase towards the end of the period, suggesting a trend towards more humid conditions. 
 Visibility was generally good, with most values around 16.09 km, but there were instances of reduced visibility down to 0.0 km. 
 Wind direction varied, with speeds ranging from -5.25 to 11.67 m/s, showing a mix of calm and breezy conditions. 
 Wind velocity ranged from -16.18 to 7.69 m/s, indicating variable wind conditions with occasional strong gusts. 
 The sky cover was predominantly overcast, with many observations indicating 8/8 coverage, but there were also periods of clear skies.",y,
44,N3|1258|swap,28_days,R2:\bindicat\w+\b;-?\d+(?:\.\d+)?\s*°C.*?-?\d+(?:\.\d+)?\s*°C,down,up,"The temperature fluctuated significantly, with a noticeable downward trend, reaching lows of -13.78°C and highs around 11.65°C, indicating a cold period overall.","The temperature fluctuated significantly, with a noticeable upward trend, reaching lows of -13.78°C and highs around 11.65°C, indicating a cold period overall.","Weather time series location: Saratoga, New York experienced a range of weather conditions. Time range: The past 28 days from November 6 to December 3, 2019. The weather is Cold, Rainy, Cloudy, Windy, Humid. The temperature fluctuated significantly, with a noticeable upward trend, reaching lows of -13.78°C and highs around 11.65°C, indicating a cold period overall. 
 Precipitation was sporadic, with several days of no rain, but notable peaks of up to 1.57 mm, suggesting occasional rainy spells. 
 Relative humidity varied widely, generally remaining high, with peaks around 96.93% and lows near 36.25%, indicating a humid atmosphere during certain periods. 
 Visibility was mostly good, with occasional drops to as low as 1.61 km, particularly during precipitation events. 
 Wind direction varied, with both positive and negative values, suggesting changing wind patterns throughout the period. 
 Wind velocity showed variability, with some strong gusts reaching up to 5.25 m/s, indicating windy conditions at times. 
 The sky cover ranged from clear to overcast, with significant periods of cloudiness, particularly towards the end of the month.",y,
45,N3|1266|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,down,up,"The temperature ranged from a low of -27.2°C to a high of -5.0°C, showing a general trend of cold temperatures with some fluctuations, particularly a noticeable drop towards the end of the week.","The temperature ranged from a low of -27.2°C to a high of -5.0°C, showing a general trend of cold temperatures with some fluctuations, particularly a noticeable climb towards the end of the week.","Weather time series location: Yukon-Koyukuk Census Area, Alaska experienced predominantly cold weather conditions. Time range: The past week from March 16 to March 22, 2021. The weather is Cold, Cloudy, Humid. The temperature ranged from a low of -27.2°C to a high of -5.0°C, showing a general trend of cold temperatures with some fluctuations, particularly a noticeable climb towards the end of the week. 
 Precipitation was minimal, with a significant event of 7.6 mm occurring on March 16, followed by sporadic light precipitation of 0.3 mm on two other occasions. 
 Relative humidity varied between 31.0% and 84.2%, with a general trend of decreasing humidity as the week progressed, particularly noticeable towards the end of the week. 
 Visibility was generally good, mostly around 16.09 km, with occasional reductions due to weather conditions, particularly on March 16 and March 22. 
 Wind direction showed a predominance of negative values, indicating winds primarily from the east, with some variability throughout the week. 
 Wind velocity ranged from -10.14 m/s to 2.6 m/s, indicating variable wind conditions with some stronger gusts. 
 The sky cover was predominantly overcast (8/8) with some periods of clear skies (0/8) and scattered clouds (2/8 to 5/8) observed intermittently.",y,
46,N3|1269|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 9.25°C to a high of 34.0°C, with noticeable fluctuations and a general warming trend towards the end of the period.","The temperature ranged from a low of 9.25°C to a high of 34.0°C, with noticeable fluctuations and a general cooling trend towards the end of the period.","Weather time series location: Boundary County, Idaho experienced a varied weather pattern. Time range: The past 28 days from August 4 to August 31, 2020. The weather is Clear, Warm, Humid. The temperature ranged from a low of 9.25°C to a high of 34.0°C, with noticeable fluctuations and a general cooling trend towards the end of the period. 
 Precipitation was consistent, with most measurements around 0.32 mm, indicating dry conditions overall, with a few outliers reaching up to 0.37 mm. 
 Relative humidity varied significantly, with values ranging from 17.33% to 91.58%, showing a trend of higher humidity during cooler periods and lower humidity during warmer days. 
 Visibility remained stable, mostly around 16.09 km, with minor fluctuations. 
 Wind direction showed variability, with some strong gusts recorded, particularly towards the end of the period. 
 Wind velocity varied, with some notable gusts reaching up to 4.51 m/s, indicating periods of breezy conditions. 
 The sky cover ranged from clear to partly cloudy, with a few instances of scattered clouds, indicating predominantly clear conditions.",y,
47,N3|1272|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 5.0°C to a high of 26.1°C, showing a noticeable warming trend towards the end of the week with some fluctuations.","The temperature ranged from a low of 5.0°C to a high of 26.1°C, showing a noticeable cooling trend towards the end of the week with some fluctuations.","Weather time series location: Shelby County, Indiana. Time range: The past week from April 28 to May 4, 2019. The weather is Clear, Cloudy, Humid, Windy, Warm. The temperature ranged from a low of 5.0°C to a high of 26.1°C, showing a noticeable cooling trend towards the end of the week with some fluctuations. 
 There was minimal precipitation early in the week, with a peak of 2.3 mm on May 3, followed by a return to dry conditions. 
 Relative humidity started high at around 89% and gradually decreased, with some spikes towards the end of the week, indicating a generally humid atmosphere. 
 Visibility remained mostly clear, with occasional reductions due to weather conditions, particularly on May 3. 
 Wind direction showed variability, with some strong gusts recorded, particularly in the latter half of the week. 
 Wind velocity varied, with notable gusts reaching up to 9.68 m/s, particularly in the latter part of the week. 
 The sky cover fluctuated between clear and overcast, with a mix of clear skies and scattered clouds throughout the week.",y,
48,N3|1273|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of -3.35°C to a high of 5.54°C, with a noticeable trend of gradual warming towards the end of the period, particularly in the last week.","The temperature ranged from a low of -3.35°C to a high of 5.54°C, with a noticeable trend of gradual cooling towards the end of the period, particularly in the last week.","Weather time series location: The weather was reported for the Aleutians West Census Area in Alaska. Time range: The past 28 days have been from December 1 to December 28, 2020. The weather is Cloudy, Rainy, Windy, Humid, Cold. The temperature ranged from a low of -3.35°C to a high of 5.54°C, with a noticeable trend of gradual cooling towards the end of the period, particularly in the last week. 
 Precipitation was sporadic, with several days of no rainfall and notable peaks, including a significant event with 2.5 mm of rain, indicating a generally dry period with occasional wet spells. 
 Relative humidity fluctuated between 60% and 96%, showing a trend of higher humidity levels, particularly during precipitation events, with a general increase towards the end of the month. 
 Visibility remained relatively stable, mostly around 10.79 km, with occasional drops during precipitation events. 
 Wind direction showed variability, with significant shifts indicating changing weather patterns, particularly during storm events. 
 Wind velocities varied, with notable gusts reaching up to 13.97 m/s, indicating periods of strong winds, especially in the latter half of the month. 
 The sky cover varied from clear to overcast, with a predominance of overcast conditions, particularly during precipitation events.",y,
49,N3|1274|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b | R3:decreasing humidity as temperatures,up,down,"The temperature ranged from a low of 16.1°C to a high of 32.8°C, showing a noticeable upward trend during the week, particularly peaking mid-week with a consistent warm period.","The temperature ranged from a low of 16.1°C to a high of 32.8°C, showing a noticeable downward trend during the week, particularly peaking mid-week with a consistent warm period.","Weather time series location: Union, New Mexico. Time range: The past week from August 8 to August 14, 2022. The weather is Clear, Warm, Windy. The temperature ranged from a low of 16.1°C to a high of 32.8°C, showing a noticeable downward trend during the week, particularly peaking mid-week with a consistent warm period. 
 There was minimal precipitation, with a significant outlier of 9.43 mm recorded on August 10, while most hours reported no precipitation at all. 
 Relative humidity fluctuated between 23.0% and 93.0%, with a general trend of decreasing humidity as temperatures increased, particularly towards the end of the week. 
 Visibility remained consistently high, mostly around 16.09 km, with occasional drops to 11.8 km and 8.25 km. 
 Wind direction showed variability, with notable shifts and peaks, particularly reaching up to 5.37 m/s. 
 Wind velocity varied, with some hours experiencing gusts up to 8.67 m/s, indicating periods of windy conditions. 
 The sky cover ranged from clear to partly cloudy, with most observations indicating clear skies (0/8) and a few instances of scattered clouds (4/8).",n,"b: surviving humidity line says ""decreasing humidity as temperatures increased, particularly towards the end of the week"" — anchors old upward direction"
50,N3|127|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 5.58°C to a high of 31.80°C, with noticeable fluctuations and a general warming trend observed towards the end of the period.","The temperature ranged from a low of 5.58°C to a high of 31.80°C, with noticeable fluctuations and a general cooling trend observed towards the end of the period.","Weather time series location: The weather data is from Tulare, California. Time range: The past 28 days from September 27, 2021, to October 24, 2021. The weather is Clear, Hot, Dry. The temperature ranged from a low of 5.58°C to a high of 31.80°C, with noticeable fluctuations and a general cooling trend observed towards the end of the period. 
 Precipitation was consistently low, with most readings around 0.57 mm, indicating dry conditions throughout the month. 
 Relative humidity varied significantly, peaking at 92.33% and dropping to 12.25%, showing a trend towards drier air as the month progressed. 
 Visibility remained generally high, averaging around 16.09 km, with occasional drops due to weather conditions. 
 Wind direction fluctuated, with values ranging from -3.14 m/s to 4.72 m/s, suggesting changing wind patterns. 
 Wind velocity showed variability, with some instances of strong winds reaching up to -5.75 m/s, indicating periods of gusty conditions. 
 The sky cover varied from clear conditions to overcast, with a notable increase in cloud cover towards the end of the period.",y,
